signal_id,signal_date,recorded_at,source,symbol,signal_price,rank,classification,v8_score,smart_money_score,institutional_score,historical_support_score,prediction_score,live_confirmation_score,relationship_score,rsi,volume_ratio,ema20_distance,return_1d_at_signal,return_5d_at_signal,result_1d,result_3d,result_5d,result_10d,max_result_5d,min_result_5d,hit_3pct_5d,hit_5pct_10d,status
2026-07-13|V8|ALKLC,2026-07-13,2026-07-13T21:33:23+03:00,V8,ALKLC,381.75,1.0,V8 İZLEME,69.01,71.0,73.0,58.56,,,,66.59,0.61,7.23,0.99,10.73,3.99,,,,,,,,1g_tamamlandi
2026-07-13|V8|GATEG,2026-07-13,2026-07-13T21:33:23+03:00,V8,GATEG,302.0,2.0,V8 İZLEME,67.25,68.0,88.0,39.24,,,,59.28,1.07,3.93,-0.33,7.47,0.66,,,,,,,,1g_tamamlandi
2026-07-13|V8|ESCAR,2026-07-13,2026-07-13T21:33:23+03:00,V8,ESCAR,48.5,3.0,V8 İZLEME,65.8,68.0,83.0,38.23,,,,50.9,0.54,0.52,0.33,-0.41,0.74,,,,,,,,1g_tamamlandi
2026-07-14|V8|THYAO,2026-07-14,2026-07-14T00:02:48+03:00,V8,THYAO,344.5,1.0,V8 GÜÇLÜ,79.56,87.0,78.0,61.07,,,,64.17,0.84,4.48,1.85,3.14,-4.21,,,,,,,,1g_tamamlandi
2026-07-14|V10|PCILT,2026-07-14,2026-07-14T00:02:48+03:00,V10,PCILT,32.76,1.0,ORTA TAKÄ°PÃÄ°,79.56,87.0,78.0,,58.8,77.0,44.07,49.99,1.02,0.47,1.42,1.42,4.4,,,,,,,,1g_tamamlandi
2026-07-14|V10|ICBCT,2026-07-14,2026-07-14T00:02:48+03:00,V10,ICBCT,20.76,2.0,Ä°ZLEME TAKÄ°PÃÄ°SÄ°,79.56,87.0,78.0,,49.39,48.0,47.37,48.42,0.75,-1.93,0.78,-4.42,-1.93,,,,,,,,1g_tamamlandi
2026-07-15|V8|ALKLC,2026-07-15,2026-07-15T00:50:22+03:00,V8,ALKLC,381.75,1.0,V8 İZLEME,69.01,71.0,73.0,58.56,,,,66.59,0.61,7.23,0.99,10.73,,,,,,,,,bekliyor
2026-07-15|V8|GATEG,2026-07-15,2026-07-15T00:50:22+03:00,V8,GATEG,302.0,2.0,V8 İZLEME,67.25,68.0,88.0,39.24,,,,59.28,1.07,3.93,-0.33,7.47,,,,,,,,,bekliyor
2026-07-15|V8|ESCAR,2026-07-15,2026-07-15T00:50:22+03:00,V8,ESCAR,48.5,3.0,V8 İZLEME,65.8,68.0,83.0,38.23,,,,50.9,0.54,0.52,0.33,-0.41,,,,,,,,,bekliyor
2026-07-15|V8|CATES,2026-07-15,2026-07-15T13:58:46+03:00,V8,CATES,45.8,1.0,V8 İZLEME,66.69,75.0,68.0,42.18,,,,67.46,2.34,9.23,1.78,12.09,,,,,,,,,bekliyor
2026-07-15|V8|KRDMA,2026-07-15,2026-07-15T13:58:46+03:00,V8,KRDMA,41.02,2.0,V8 İZLEME,66.21,79.0,58.0,41.32,,,,59.55,2.09,3.36,0.69,4.8,,,,,,,,,bekliyor
2026-07-15|V10|METRO,2026-07-15,2026-07-15T13:58:46+03:00,V10,METRO,8.9,1.0,ORTA TAKÄ°PÃÄ°,66.21,79.0,58.0,,61.4,92.0,43.04,56.21,0.88,2.76,0.68,1.02,,,,,,,,,bekliyor
2026-07-15|V10|CRDFA,2026-07-15,2026-07-15T13:58:46+03:00,V10,CRDFA,37.44,2.0,Ä°ZLEME TAKÄ°PÃÄ°SÄ°,66.21,79.0,58.0,,55.22,67.0,42.69,49.9,0.91,-0.24,0.92,-0.16,,,,,,,,,bekliyor
2026-07-15|V10|IHAAS,2026-07-15,2026-07-15T13:58:46+03:00,V10,IHAAS,66.05,3.0,Ä°ZLEME TAKÄ°PÃÄ°SÄ°,66.21,79.0,58.0,,54.95,70.0,46.06,48.01,1.47,-0.08,-9.95,8.28,,,,,,,,,bekliyor
2026-07-16|V8|CATES,2026-07-16,2026-07-16T00:02:57+03:00,V8,CATES,45.8,1.0,V8 İZLEME,66.69,75.0,68.0,42.18,,,,67.46,2.34,9.23,1.78,12.09,,,,,,,,,bekliyor
2026-07-16|V8|KRDMA,2026-07-16,2026-07-16T00:02:57+03:00,V8,KRDMA,41.02,2.0,V8 İZLEME,66.21,79.0,58.0,41.32,,,,59.55,2.09,3.36,0.69,4.8,,,,,,,,,bekliyor
2026-07-16|V8|ESCAR,2026-07-16,2026-07-16T00:02:57+03:00,V8,ESCAR,48.86,3.0,V8 İZLEME,65.88,69.0,80.0,39.65,,,,52.45,0.44,1.14,0.74,-0.49,,,,,,,,,bekliyor
2026-07-16|V10|METRO,2026-07-16,2026-07-16T00:02:57+03:00,V10,METRO,8.9,1.0,ORTA TAKÄ°PÃÄ°,66.21,79.0,58.0,,61.4,92.0,43.04,56.21,0.88,2.76,0.68,1.02,,,,,,,,,bekliyor
2026-07-16|V10|CRDFA,2026-07-16,2026-07-16T00:02:57+03:00,V10,CRDFA,37.44,2.0,Ä°ZLEME TAKÄ°PÃÄ°SÄ°,66.21,79.0,58.0,,55.22,67.0,42.69,49.9,0.91,-0.24,0.92,-0.16,,,,,,,,,bekliyor
2026-07-16|V10|IHAAS,2026-07-16,2026-07-16T00:02:57+03:00,V10,IHAAS,66.05,3.0,Ä°ZLEME TAKÄ°PÃÄ°SÄ°,66.21,79.0,58.0,,54.95,70.0,46.06,48.01,1.47,-0.08,-9.95,8.28,,,,,,,,,bekliyor
